Job Title | Survey | Online
Mngers and prop In other srvcs NEC | GCE A level or equivalent | Other qualification
Routine inspectors and testers | Other qualification | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Labrs process  plant opertns nec | GCE A level or equivalent | Other qualification
Residential and day care managers | Degree or equivalent | Other qualification
Sports and fitness occupations nec | Degree or equivalent | Other qualification
Medical practitioners | Degree or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Public serv associate professionals | GCE A level or equivalent | Other qualification
Fin  invest analyst  advisers | GCSE grades A*-C or equivalent | Other qualification
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Caretakers | GCE A level or equivalent | Other qualification
Caretakers | GCSE grades A*-C or equivalent | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Furntre mkr other crft woodworkers | GCSE grades A*-C or equivalent | Other qualification
Pers training  ind rel mngers | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | Other qualification | Other qualification
Software professionals | GCSE grades A*-C or equivalent | Degree or equivalent
Teaching professionals nec | Degree or equivalent | Other qualification
Personnel  ind relations offs | Degree or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Electricians electrical fitters | Other qualification | Other qualification
Info  communication technol mngers | Degree or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Metal working machine operatives | Degree or equivalent | Other qualification
Legal associate professionals | Higher education | Other qualification
Graphic designers | Degree or equivalent | Degree or equivalent
Managers in construction | GCE A level or equivalent | Other qualification
Brokers | GCSE grades A*-C or equivalent | Other qualification
Legal associate professionals | GCE A level or equivalent | Other qualification
Financial managers  chartered secs | GCE A level or equivalent | Degree or equivalent
School crossing patrol attendants | Higher education | Other qualification
Researchers nec | Degree or equivalent | Other qualification
Archt technols  town plan technics | Degree or equivalent | Other qualification
Elementary office occupatns nec | GCE A level or equivalent | Other qualification
Officers nongov organisations | Degree or equivalent | Other qualification
Insurance underwriters | Degree or equivalent | Degree or equivalent
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
Sports and fitness occupations nec | Degree or equivalent | Other qualification
Transport and distribution managers | GCSE grades A*-C or equivalent | Degree or equivalent
Oth good hndlng  storage occup nec | GCSE grades A*-C or equivalent | Other qualification
Transport and distribution managers | GCE A level or equivalent | Degree or equivalent
Bus and coach drivers | GCSE grades A*-C or equivalent | Other qualification
Transport and distribution clerks | Other qualification | Other qualification
Medical practitioners | Other qualification | Other qualification
Sales representatives | Other qualification | Other qualification
Managers in mining and energy | Higher education | Other qualification
Social services managers | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Engineering technicians | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Directors  chief execs of maj orgs | Degree or equivalent | Other qualification
Labrers build  woodworking trades | GCSE grades A*-C or equivalent | Other qualification
Customer care managers | Degree or equivalent | Degree or equivalent
Van drivers | Other qualification | Other qualification
Planning and qlty control engineers | GCSE grades A*-C or equivalent | Degree or equivalent
Customer care occupations | Degree or equivalent | Other qualification
Nursery nurses | GCE A level or equivalent | Other qualification
Prod works  maintenance managers | GCSE grades A*-C or equivalent | Other qualification
Sports coaches instruc  officials | GCE A level or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
IT operations technicians | Higher education | Degree or equivalent
Cleaners domestics | Other qualification | Other qualification
Police offcrs sergeant and below | GCE A level or equivalent | Other qualification
Credit controllers | GCE A level or equivalent | Degree or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
Auto electricians | GCE A level or equivalent | Other qualification
General office assistants or clerks | Higher education | GCSE grades A*-C or equivalent
Prod works  maintenance managers | GCSE grades A*-C or equivalent | Other qualification
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Financial managers  chartered secs | Higher education | Degree or equivalent
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Assemblers and routine oprtves nec | GCSE grades A*-C or equivalent | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Customer care occupations | Higher education | Other qualification
Prod works  maintenance managers | Other qualification | Other qualification
Printing machine minders and assist | GCSE grades A*-C or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Solic  lawyers judges  coroners | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Marketing associate professionals | GCSE grades A*-C or equivalent | Degree or equivalent
Care assistants and home carers | Degree or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Counter clerks | GCSE grades A*-C or equivalent | Other qualification
Managers in construction | GCE A level or equivalent | Other qualification
Hairdrs  beauty slon mngr  props | GCE A level or equivalent | Other qualification
Forklift truck drivers | Other qualification | Other qualification
Motor mechanics auto engineers | Higher education | Other qualification
Cleaners domestics | Other qualification | Other qualification
Oth good hndlng  storage occup nec | GCSE grades A*-C or equivalent | Other qualification
